Project: Highway Bridge Renovation
Report Generated: 15/01/2024
Client Reference: HBR-2024
Exported By: AutoCAD Document Manager
,,,,,,
Doc Ref,Description,Unit Group,Rev,Review Status,Uploaded
DWG-001,Foundation Plan,Structural,A,Under Review,08/01/2024
DWG-002,Elevation View - North,Architectural,B,Approved,10/01/2024
DWG-003,Site Plan Overview,Civil,---,---,---
DWG-004,Drainage Layout,Civil,A,Awaiting Design Review,12/01/2024
DWG-005,Reinforcement Details - Pier 1,Structural,---,In Progress,14/01/2024
DWG-006,Reinforcement Details - Pier 2,Structural,---,In Progress,14/01/2024
DWG-007,Traffic Management Plan,Civil,A,Under Review,07/01/2024
DWG-008,Electrical Riser Diagram,Electrical,B,Approved,03/01/2024
DWG-009,Lighting Layout - Deck,Electrical,---,---,---
DWG-010,Hydraulic Report Plan,Civil,A,Awaiting Design Review,11/01/2024
DWG-011,Geotechnical Cross Section,Structural,---,In Progress,13/01/2024
DWG-012,Survey Control Plan,Civil,A,Approved,02/01/2024
