Project: Highway Bridge Renovation
Report Generated: 22/01/2024
Client Reference: HBR-2024
Exported By: AutoCAD Document Manager
Note: Supersedes Day 1 export
,,,,,,
Doc Ref,Description,Unit Group,Rev,Review Status,Uploaded
DWG-001,Foundation Plan,Structural,B,Approved,22/01/2024
DWG-002,Elevation View - North,Architectural,B,Approved,10/01/2024
DWG-003,Site Plan Overview,Civil,A,Under Review,20/01/2024
DWG-004,Drainage Layout,Civil,B,Under Review,19/01/2024
DWG-005,Reinforcement Details - Pier 1,Structural,A,Awaiting Design Review,21/01/2024
DWG-006,Reinforcement Details - Pier 2,Structural,A,Awaiting Design Review,21/01/2024
DWG-007,Traffic Management Plan,Civil,B,Approved,18/01/2024
DWG-008,Electrical Riser Diagram,Electrical,B,Approved,03/01/2024
DWG-009,Lighting Layout - Deck,Electrical,A,In Progress,20/01/2024
DWG-010,Hydraulic Report Plan,Civil,B,Under Review,19/01/2024
DWG-011,Geotechnical Cross Section,Structural,A,Under Review,21/01/2024
DWG-012,Survey Control Plan,Civil,A,Approved,02/01/2024
DWG-013,Stormwater Drainage Details,Civil,A,In Progress,22/01/2024
DWG-014,Structural Steel Schedule,Structural,---,---,---
